"Stec ID","Destination","Throughput time","Trace length"
"129287","USA",0,2
"129288","USA",0,2
"129289","USA",0,2
"129290","Others",0,2
"129291","Others",0,2
"129292","Others",0,2
"129293","Others",0,2
"129294","Others",0,2
"129295","Others",0,2
"129296","USA",0,2
"129297","USA",0,2
"129298","USA",0,2
"129299","USA",0,2
"129300","USA",0,2
"129301","Others",0,2
"129302","Others",0,2
"129303","Others",0,2
"129304","Others",0,2
"129305","Others",0,2
"129311","USA",0,2
"129312","USA",0,2
"129313","USA",0,2
"129315","USA",0,2
"129316","USA",0,2
"129317","USA",0,2
"129318","USA",0,2
"129319","USA",0,2
"129320","Others",0,2
"129321","Others",0,2
"129322","Others",0,2
"129323","Others",0,2
"129332","Others",0,2
"129333","Others",0,2
"129343","USA",1,2
"129344","USA",1,2
"129345","USA",1,2
"129346","USA",1,2
"129347","USA",1,2
"129348","USA",1,2
"129349","USA",1,2
"129350","USA",1,2
"129370","USA",2,2
"129371","USA",2,2
"129372","USA",2,2
"129373","USA",2,2
"129374","USA",2,2
"129375","USA",2,2
"129376","USA",2,2
"129377","USA",3,2
"129378","Others",1,2
"129379","USA",1,2
"129380","USA",1,2
"129387","Others",0,2
"129388","USA",2,2
"129389","USA",2,2
"129390","USA",2,2
"129391","USA",0,2
"129392","USA",0,2
"129393","USA",0,2
"129394","Others",1,2
"129395","Others",1,2
"129396","Others",1,2
"129397","Others",1,2
"129398","USA",1,2
"129400","Others",1,2
"129401","Others",1,2
"129402","Others",2,2
"129403","USA",0,2
"129404","USA",0,2
"129405","USA",0,2
"129406","Canada",1,2
"129409","Others",0,2
"129411","Others",0,2
"129412","Others",0,2
"129413","Others",0,2
"129420","USA",0,2
"129421","USA",0,2
"129422","USA",0,2
"129423","USA",0,2
"129424","Others",0,2
"129425","Others",0,2
"129426","Others",1,2
"129427","Canada",0,2
"129428","Canada",0,2
"129429","USA",0,2
"129430","USA",0,2
"129431","Others",0,2
"129432","Others",0,2
"129433","Others",0,2
"129434","Canada",0,2
"129435","Canada",0,2
"129436","USA",0,2
"129437","USA",0,2
"129438","USA",0,2
"129439","USA",0,2
"129446","USA",5,2
"129447","USA",5,2
"129448","USA",5,2
"129449","USA",5,2
"129450","USA",5,2
"129451","USA",5,2
"129452","USA",0,2
"129453","Others",0,2
"129454","USA",0,2
"129455","USA",0,2
"129456","USA",0,2
"129457","USA",0,2
"129458","USA",0,2
"129459","USA",0,2
"129460","USA",0,2
"129461","USA",0,2
"129462","USA",0,2
"129463","USA",0,2
"129464","Others",0,2
"129465","Others",0,2
"129466","Others",0,2
"129467","Others",0,2
"129468","USA",0,2
"129469","USA",0,2
"129470","Others",0,2
"129471","Others",0,2
"129472","Others",0,2
"129473","Others",0,2
"129474","Others",0,2
"129479","Others",0,2
"129480","Others",0,2
"129481","Others",0,2
"129482","Others",0,2
"129488","USA",0,2
"129489","Others",2,2
"129490","Others",0,2
"129491","Others",0,2
"129492","Others",0,2
"129493","Others",0,2
"129494","Others",0,2
"129495","Others",0,2
"129496","Others",0,2
"129497","Others",0,2
"129498","Others",6,3
"129499","Others",0,2
"129500","Others",0,2
"129501","Others",0,2
"129502","Others",0,2
"129503","Others",0,2
"129504","Others",0,2
"129505","Others",0,2
"129506","Others",0,2
"129507","Others",0,2
"129508","Others",0,2
"129509","Others",0,2
"129510","Others",0,2
"129519","USA",1,2
"129520","USA",1,2
"129521","USA",1,2
"129522","Others",0,2
"129523","Others",0,2
"129524","Others",0,2
"129525","Others",0,2
"129526","USA",2,2
"129527","USA",2,2
"129528","USA",2,2
"129529","USA",2,2
"129530","USA",2,2
"129531","USA",2,2
"129532","USA",2,2
"129533","USA",2,2
"129534","USA",2,2
"129535","USA",2,2
"129536","USA",1,2
"129537","USA",1,2
"129538","USA",1,2
"129539","USA",1,2
"129541","USA",0,2
"129542","USA",0,2
"129543","USA",0,2
"129544","USA",0,2
"129545","USA",0,2
"129546","USA",0,2
"129551","Others",0,2
"129552","Others",0,2
"129553","Others",0,2
"129554","Others",0,2
"129555","Others",0,2
"129556","Others",0,2
"129557","Others",0,2
"129558","Others",0,2
"129559","USA",2,2
"129560","USA",2,2
"129561","USA",2,2
"129562","USA",2,2
"129563","USA",2,2
"129564","USA",2,2
"129565","USA",2,2
"129566","USA",2,2
"129567","USA",2,2
"129568","USA",2,2
"129570","Others",1,2
"129571","Others",1,2
"129572","Others",1,2
"129573","Others",2,2
"129574","Others",2,2
"129575","Others",1,2
"129576","Others",1,2
"129578","Others",1,2
"129579","Others",1,2
"129587","USA",0,2
"129588","USA",0,2
"129589","USA",0,2
"129590","Others",2,3
"129591","Others",2,3
"129595","Others",2,2
"129599","USA",0,2
