"Stec ID","Activity","Start datetime","Destination","Status","Activity instance"," order","Throughput time case","Processing time case"
"129287","Production",2021-01-04,"USA","Start","1",1,0,0
"129288","Production",2021-01-04,"USA","Start","2",2,0,0
"129289","Production",2021-01-04,"USA","Start","3",3,0,0
"129290","Production",2021-01-04,"Others","Start","4",4,0,0
"129291","Production",2021-01-04,"Others","Start","5",5,0,0
"129292","Production",2021-01-04,"Others","Start","6",6,0,0
"129293","Production",2021-01-04,"Others","Start","7",7,0,0
"129294","Production",2021-01-04,"Others","Start","8",8,0,0
"129295","Production",2021-01-04,"Others","Start","9",9,0,0
"129296","Production",2021-01-05,"USA","Start","10",10,0,0
"129297","Production",2021-01-05,"USA","Start","11",11,0,0
"129298","Production",2021-01-05,"USA","Start","12",12,0,0
"129299","Production",2021-01-05,"USA","Start","13",13,0,0
"129300","Production",2021-01-05,"USA","Start","14",14,0,0
"129301","Production",2021-01-05,"Others","Start","15",15,0,0
"129302","Production",2021-01-05,"Others","Start","16",16,0,0
"129303","Production",2021-01-05,"Others","Start","17",17,0,0
"129304","Production",2021-01-05,"Others","Start","18",18,0,0
"129305","Production",2021-01-05,"Others","Start","19",19,0,0
"129311","Production",2021-01-05,"USA","Start","20",20,0,0
"129312","Production",2021-01-05,"USA","Start","21",21,0,0
"129313","Production",2021-01-05,"USA","Start","22",22,0,0
"129315","Production",2021-01-06,"USA","Start","23",23,0,0
"129316","Production",2021-01-06,"USA","Start","24",24,0,0
"129317","Production",2021-01-06,"USA","Start","25",25,0,0
"129318","Production",2021-01-06,"USA","Start","26",26,0,0
"129319","Production",2021-01-06,"USA","Start","27",27,0,0
"129320","Production",2021-01-06,"Others","Start","28",28,0,0
"129321","Production",2021-01-06,"Others","Start","29",29,0,0
"129322","Production",2021-01-06,"Others","Start","30",30,0,0
"129323","Production",2021-01-06,"Others","Start","31",31,0,0
"129332","Production",2021-01-07,"Others","Start","32",32,0,0
"129333","Production",2021-01-07,"Others","Start","33",33,0,0
"129343","Production",2021-01-04,"USA","Start","34",34,1,0
"129344","Production",2021-01-04,"USA","Start","35",35,1,0
"129345","Production",2021-01-04,"USA","Start","36",36,1,0
"129346","Production",2021-01-04,"USA","Start","37",37,1,0
"129347","Production",2021-01-04,"USA","Start","38",38,1,0
"129348","Production",2021-01-04,"USA","Start","39",39,1,0
"129349","Production",2021-01-04,"USA","Start","40",40,1,0
"129350","Production",2021-01-07,"USA","Start","41",41,1,0
"129370","Production",2021-01-04,"USA","Start","42",42,2,0
"129371","Production",2021-01-04,"USA","Start","43",43,2,0
"129372","Production",2021-01-04,"USA","Start","44",44,2,0
"129373","Production",2021-01-07,"USA","Start","45",45,2,0
"129374","Production",2021-01-07,"USA","Start","46",46,2,0
"129375","Production",2021-01-07,"USA","Start","47",47,2,0
"129376","Production",2021-01-07,"USA","Start","48",48,2,0
"129377","Production",2021-01-08,"USA","Start","49",49,3,0
"129378","Production",2021-01-06,"Others","Start","50",50,1,0
"129379","Production",2021-01-06,"USA","Start","51",51,1,0
"129380","Production",2021-01-06,"USA","Start","52",52,1,0
"129387","Production",2021-01-08,"Others","Start","53",53,0,0
"129388","Production",2021-01-08,"USA","Start","54",54,2,0
"129389","Production",2021-01-08,"USA","Start","55",55,2,0
"129390","Production",2021-01-08,"USA","Start","56",56,2,0
"129391","Production",2021-01-11,"USA","Start","57",57,0,0
"129392","Production",2021-01-11,"USA","Start","58",58,0,0
"129393","Production",2021-01-11,"USA","Start","59",59,0,0
"129394","Production",2021-01-11,"Others","Start","60",60,1,0
"129395","Production",2021-01-11,"Others","Start","61",61,1,0
"129396","Production",2021-01-11,"Others","Start","62",62,1,0
"129397","Production",2021-01-11,"Others","Start","63",63,1,0
"129398","Production",2021-01-11,"USA","Start","64",64,1,0
"129400","Production",2021-01-05,"Others","Start","65",65,1,0
"129401","Production",2021-01-06,"Others","Start","66",66,1,0
"129402","Production",2021-01-07,"Others","Start","67",67,2,0
"129403","Production",2021-01-11,"USA","Start","68",68,0,0
"129404","Production",2021-01-11,"USA","Start","69",69,0,0
"129405","Production",2021-01-04,"USA","Start","70",70,0,0
"129406","Production",2021-01-11,"Canada","Start","71",71,1,0
"129409","Production",2021-01-08,"Others","Start","72",72,0,0
"129411","Production",2021-01-08,"Others","Start","73",73,0,0
"129412","Production",2021-01-08,"Others","Start","74",74,0,0
"129413","Production",2021-01-08,"Others","Start","75",75,0,0
"129420","Production",2021-01-11,"USA","Start","76",76,0,0
"129421","Production",2021-01-11,"USA","Start","77",77,0,0
"129422","Production",2021-01-11,"USA","Start","78",78,0,0
"129423","Production",2021-01-11,"USA","Start","79",79,0,0
"129424","Production",2021-01-11,"Others","Start","80",80,0,0
"129425","Production",2021-01-11,"Others","Start","81",81,0,0
"129426","Production",2021-01-12,"Others","Start","82",82,1,0
"129427","Production",2021-01-12,"Canada","Start","83",83,0,0
"129428","Production",2021-01-12,"Canada","Start","84",84,0,0
"129429","Production",2021-01-12,"USA","Start","85",85,0,0
"129430","Production",2021-01-12,"USA","Start","86",86,0,0
"129431","Production",2021-01-12,"Others","Start","87",87,0,0
"129432","Production",2021-01-12,"Others","Start","88",88,0,0
"129433","Production",2021-01-12,"Others","Start","89",89,0,0
"129434","Production",2021-01-12,"Canada","Start","90",90,0,0
"129435","Production",2021-01-12,"Canada","Start","91",91,0,0
"129436","Production",2021-01-12,"USA","Start","92",92,0,0
"129437","Production",2021-01-12,"USA","Start","93",93,0,0
"129438","Production",2021-01-12,"USA","Start","94",94,0,0
"129439","Production",2021-01-12,"USA","Start","95",95,0,0
"129446","Production",2021-01-08,"USA","Start","96",96,5,0
"129447","Production",2021-01-08,"USA","Start","97",97,5,0
"129448","Production",2021-01-08,"USA","Start","98",98,5,0
"129449","Production",2021-01-08,"USA","Start","99",99,5,0
"129450","Production",2021-01-08,"USA","Start","100",100,5,0
"129451","Production",2021-01-08,"USA","Start","101",101,5,0
"129452","Production",2021-01-13,"USA","Start","102",102,0,0
"129453","Production",2021-01-12,"Others","Start","103",103,0,0
"129454","Production",2021-01-13,"USA","Start","104",104,0,0
"129455","Production",2021-01-13,"USA","Start","105",105,0,0
"129456","Production",2021-01-13,"USA","Start","106",106,0,0
"129457","Production",2021-01-13,"USA","Start","107",107,0,0
"129458","Production",2021-01-13,"USA","Start","108",108,0,0
"129459","Production",2021-01-13,"USA","Start","109",109,0,0
"129460","Production",2021-01-13,"USA","Start","110",110,0,0
"129461","Production",2021-01-13,"USA","Start","111",111,0,0
"129462","Production",2021-01-13,"USA","Start","112",112,0,0
"129463","Production",2021-01-13,"USA","Start","113",113,0,0
"129464","Production",2021-01-04,"Others","Start","114",114,0,0
"129465","Production",2021-01-05,"Others","Start","115",115,0,0
"129466","Production",2021-01-06,"Others","Start","116",116,0,0
"129467","Production",2021-01-06,"Others","Start","117",117,0,0
"129468","Production",2021-01-06,"USA","Start","118",118,0,0
"129469","Production",2021-01-08,"USA","Start","119",119,0,0
"129470","Production",2021-01-08,"Others","Start","120",120,0,0
"129471","Production",2021-01-08,"Others","Start","121",121,0,0
"129472","Production",2021-01-11,"Others","Start","122",122,0,0
"129473","Production",2021-01-12,"Others","Start","123",123,0,0
"129474","Production",2021-01-12,"Others","Start","124",124,0,0
"129479","Production",2021-01-11,"Others","Start","125",125,0,0
"129480","Production",2021-01-11,"Others","Start","126",126,0,0
"129481","Production",2021-01-12,"Others","Start","127",127,0,0
"129482","Production",2021-01-13,"Others","Start","128",128,0,0
"129488","Production",2021-01-14,"USA","Start","129",129,0,0
"129489","Production",2021-01-11,"Others","Start","130",130,2,0
"129490","Production",2021-01-14,"Others","Start","131",131,0,0
"129491","Production",2021-01-14,"Others","Start","132",132,0,0
"129492","Production",2021-01-05,"Others","Start","133",133,0,0
"129493","Production",2021-01-08,"Others","Start","134",134,0,0
"129494","Production",2021-01-11,"Others","Start","135",135,0,0
"129495","Production",2021-01-12,"Others","Start","136",136,0,0
"129496","Production",2021-01-12,"Others","Start","137",137,0,0
"129497","Production",2021-01-12,"Others","Start","138",138,0,0
"129498","Production",2021-01-12,"Others","Start","139",139,6,0
"129499","Production",2021-01-05,"Others","Start","140",140,0,0
"129500","Production",2021-01-07,"Others","Start","141",141,0,0
"129501","Production",2021-01-07,"Others","Start","142",142,0,0
"129502","Production",2021-01-07,"Others","Start","143",143,0,0
"129503","Production",2021-01-08,"Others","Start","144",144,0,0
"129504","Production",2021-01-08,"Others","Start","145",145,0,0
"129505","Production",2021-01-08,"Others","Start","146",146,0,0
"129506","Production",2021-01-11,"Others","Start","147",147,0,0
"129507","Production",2021-01-11,"Others","Start","148",148,0,0
"129508","Production",2021-01-11,"Others","Start","149",149,0,0
"129509","Production",2021-01-12,"Others","Start","150",150,0,0
"129510","Production",2021-01-12,"Others","Start","151",151,0,0
"129519","Production",2021-01-14,"USA","Start","152",152,1,0
"129520","Production",2021-01-14,"USA","Start","153",153,1,0
"129521","Production",2021-01-14,"USA","Start","154",154,1,0
"129522","Production",2021-01-14,"Others","Start","155",155,0,0
"129523","Production",2021-01-14,"Others","Start","156",156,0,0
"129524","Production",2021-01-14,"Others","Start","157",157,0,0
"129525","Production",2021-01-15,"Others","Start","158",158,0,0
"129526","Production",2021-01-12,"USA","Start","159",159,2,0
"129527","Production",2021-01-11,"USA","Start","160",160,2,0
"129528","Production",2021-01-11,"USA","Start","161",161,2,0
"129529","Production",2021-01-12,"USA","Start","162",162,2,0
"129530","Production",2021-01-13,"USA","Start","163",163,2,0
"129531","Production",2021-01-13,"USA","Start","164",164,2,0
"129532","Production",2021-01-15,"USA","Start","165",165,2,0
"129533","Production",2021-01-15,"USA","Start","166",166,2,0
"129534","Production",2021-01-15,"USA","Start","167",167,2,0
"129535","Production",2021-01-15,"USA","Start","168",168,2,0
"129536","Production",2021-01-14,"USA","Start","169",169,1,0
"129537","Production",2021-01-14,"USA","Start","170",170,1,0
"129538","Production",2021-01-14,"USA","Start","171",171,1,0
"129539","Production",2021-01-14,"USA","Start","172",172,1,0
"129541","Production",2021-01-13,"USA","Start","173",173,0,0
"129542","Production",2021-01-13,"USA","Start","174",174,0,0
"129543","Production",2021-01-13,"USA","Start","175",175,0,0
"129544","Production",2021-01-14,"USA","Start","176",176,0,0
"129545","Production",2021-01-14,"USA","Start","177",177,0,0
"129546","Production",2021-01-14,"USA","Start","178",178,0,0
"129551","Production",2021-01-15,"Others","Start","179",179,0,0
"129552","Production",2021-01-15,"Others","Start","180",180,0,0
"129553","Production",2021-01-14,"Others","Start","181",181,0,0
"129554","Production",2021-01-14,"Others","Start","182",182,0,0
