"Stec ID","Activity","Start datetime","Destination","Status","Activity instance"
129287,"Production","2021-01-04","USA","Start",1
129288,"Production","2021-01-04","USA","Start",2
129289,"Production","2021-01-04","USA","Start",3
129290,"Production","2021-01-04","Others","Start",4
129291,"Production","2021-01-04","Others","Start",5
129292,"Production","2021-01-04","Others","Start",6
129293,"Production","2021-01-04","Others","Start",7
129294,"Production","2021-01-04","Others","Start",8
129295,"Production","2021-01-04","Others","Start",9
129296,"Production","2021-01-05","USA","Start",10
129297,"Production","2021-01-05","USA","Start",11
129298,"Production","2021-01-05","USA","Start",12
129299,"Production","2021-01-05","USA","Start",13
129300,"Production","2021-01-05","USA","Start",14
129301,"Production","2021-01-05","Others","Start",15
129302,"Production","2021-01-05","Others","Start",16
129303,"Production","2021-01-05","Others","Start",17
129304,"Production","2021-01-05","Others","Start",18
129305,"Production","2021-01-05","Others","Start",19
129311,"Production","2021-01-05","USA","Start",20
129312,"Production","2021-01-05","USA","Start",21
129313,"Production","2021-01-05","USA","Start",22
129315,"Production","2021-01-06","USA","Start",23
129316,"Production","2021-01-06","USA","Start",24
129317,"Production","2021-01-06","USA","Start",25
129318,"Production","2021-01-06","USA","Start",26
129319,"Production","2021-01-06","USA","Start",27
129320,"Production","2021-01-06","Others","Start",28
129321,"Production","2021-01-06","Others","Start",29
129322,"Production","2021-01-06","Others","Start",30
129323,"Production","2021-01-06","Others","Start",31
129332,"Production","2021-01-07","Others","Start",32
129333,"Production","2021-01-07","Others","Start",33
129343,"Production","2021-01-04","USA","Start",34
129344,"Production","2021-01-04","USA","Start",35
129345,"Production","2021-01-04","USA","Start",36
129346,"Production","2021-01-04","USA","Start",37
129347,"Production","2021-01-04","USA","Start",38
129348,"Production","2021-01-04","USA","Start",39
129349,"Production","2021-01-04","USA","Start",40
129350,"Production","2021-01-07","USA","Start",41
129370,"Production","2021-01-04","USA","Start",42
129371,"Production","2021-01-04","USA","Start",43
129372,"Production","2021-01-04","USA","Start",44
129373,"Production","2021-01-07","USA","Start",45
129374,"Production","2021-01-07","USA","Start",46
129375,"Production","2021-01-07","USA","Start",47
129376,"Production","2021-01-07","USA","Start",48
129377,"Production","2021-01-08","USA","Start",49
129378,"Production","2021-01-06","Others","Start",50
129379,"Production","2021-01-06","USA","Start",51
129380,"Production","2021-01-06","USA","Start",52
129387,"Production","2021-01-08","Others","Start",53
129388,"Production","2021-01-08","USA","Start",54
129389,"Production","2021-01-08","USA","Start",55
129390,"Production","2021-01-08","USA","Start",56
129391,"Production","2021-01-11","USA","Start",57
129392,"Production","2021-01-11","USA","Start",58
129393,"Production","2021-01-11","USA","Start",59
129394,"Production","2021-01-11","Others","Start",60
129395,"Production","2021-01-11","Others","Start",61
129396,"Production","2021-01-11","Others","Start",62
129397,"Production","2021-01-11","Others","Start",63
129398,"Production","2021-01-11","USA","Start",64
129400,"Production","2021-01-05","Others","Start",65
129401,"Production","2021-01-06","Others","Start",66
129402,"Production","2021-01-07","Others","Start",67
129403,"Production","2021-01-11","USA","Start",68
129404,"Production","2021-01-11","USA","Start",69
129405,"Production","2021-01-04","USA","Start",70
129406,"Production","2021-01-11","Canada","Start",71
129409,"Production","2021-01-08","Others","Start",72
129411,"Production","2021-01-08","Others","Start",73
129412,"Production","2021-01-08","Others","Start",74
129413,"Production","2021-01-08","Others","Start",75
129420,"Production","2021-01-11","USA","Start",76
129421,"Production","2021-01-11","USA","Start",77
129422,"Production","2021-01-11","USA","Start",78
129423,"Production","2021-01-11","USA","Start",79
129424,"Production","2021-01-11","Others","Start",80
129425,"Production","2021-01-11","Others","Start",81
129426,"Production","2021-01-12","Others","Start",82
129427,"Production","2021-01-12","Canada","Start",83
129428,"Production","2021-01-12","Canada","Start",84
129429,"Production","2021-01-12","USA","Start",85
129430,"Production","2021-01-12","USA","Start",86
129431,"Production","2021-01-12","Others","Start",87
129432,"Production","2021-01-12","Others","Start",88
129433,"Production","2021-01-12","Others","Start",89
129434,"Production","2021-01-12","Canada","Start",90
129435,"Production","2021-01-12","Canada","Start",91
129436,"Production","2021-01-12","USA","Start",92
129437,"Production","2021-01-12","USA","Start",93
129438,"Production","2021-01-12","USA","Start",94
129439,"Production","2021-01-12","USA","Start",95
129446,"Production","2021-01-08","USA","Start",96
129447,"Production","2021-01-08","USA","Start",97
129448,"Production","2021-01-08","USA","Start",98
129449,"Production","2021-01-08","USA","Start",99
129450,"Production","2021-01-08","USA","Start",100
129451,"Production","2021-01-08","USA","Start",101
129452,"Production","2021-01-13","USA","Start",102
129453,"Production","2021-01-12","Others","Start",103
129454,"Production","2021-01-13","USA","Start",104
129455,"Production","2021-01-13","USA","Start",105
129456,"Production","2021-01-13","USA","Start",106
129457,"Production","2021-01-13","USA","Start",107
129458,"Production","2021-01-13","USA","Start",108
129459,"Production","2021-01-13","USA","Start",109
129460,"Production","2021-01-13","USA","Start",110
129461,"Production","2021-01-13","USA","Start",111
129462,"Production","2021-01-13","USA","Start",112
129463,"Production","2021-01-13","USA","Start",113
129464,"Production","2021-01-04","Others","Start",114
